,TRIAL,STx,Nrate,GY,Y0,Ymax,NR,NRr,NAE
346,1114,loam,100,5.666,1.037,8.342,4.6290000000000004,446.38379942140796,46.29
347,1114,loam,150,8.342,1.037,8.342,7.305000000000001,704.4358727097398,48.7
348,1114,loam,200,8.129,1.037,8.342,7.092,683.8958534233366,35.46
350,1115,clay loam,50,3.798,2.033,8.187999999999999,1.7650000000000001,86.81751106738811,35.3
351,1115,clay loam,100,6.0120000000000005,2.033,8.187999999999999,3.9790000000000005,195.72060993605513,39.79
352,1115,clay loam,150,7.1370000000000005,2.033,8.187999999999999,5.104000000000001,251.0575504181014,34.027
353,1115,clay loam,200,8.187999999999999,2.033,8.187999999999999,6.154999999999999,302.75454992621735,30.775
355,1154,clay,80,10.642999999999999,10.728,11.792,-0.08500000000000085,-0.7923191648023943,-1.063
356,1154,clay,120,11.05,10.728,11.792,0.32200000000000095,3.001491424310225,2.683
357,1154,clay,160,5.1610000000000005,10.728,11.792,-5.566999999999999,-51.89224459358687,-34.794
358,1154,clay,200,9.25,10.728,11.792,-1.4779999999999998,-13.777032065622668,-7.39
359,1154,clay,240,11.792,10.728,11.792,1.064,9.917971662938106,4.433
361,1158,clay loam,50,5.818,3.0010000000000003,6.261,2.8169999999999993,93.86871042985668,56.34
362,1158,clay loam,100,5.931,3.0010000000000003,6.261,2.9299999999999997,97.63412195934687,29.3
363,1158,clay loam,150,6.261,3.0010000000000003,6.261,3.26,108.63045651449514,21.733
364,1158,clay loam,200,0.31,3.0010000000000003,6.261,-2.6910000000000003,-89.67010996334554,-13.455
366,1160,clay loam,50,4.184,2.458,6.318,1.726,70.21969080553295,34.52
367,1160,clay loam,100,5.737,2.458,6.318,3.279,133.40113913751014,32.79
368,1160,clay loam,150,6.318,2.458,6.318,3.8599999999999994,157.0382424735557,25.733
369,1160,clay loam,200,0.48100000000000004,2.458,6.318,-1.977,-80.43124491456469,-9.885
